Reporting Economy;Product/Sector;Partner Economy;2015;;;;;;
Japan;BOP6 - SC - Transport;Chinese Taipei;2629;;;;;;
Japan;BOP6 - SC - Transport;Thailand;970;;;;;;
Japan;BOP6 - SC - Transport;United Arab Emirates;333;;;;;;
Japan;BOP6 - SC - Transport;United Kingdom;1194;;;;;;
Japan;BOP6 - SC - Transport;United States of America;7194;;;;;;
Japan;BOP6 - SC - Transport;Viet Nam;348;;;;;;
Japan;BOP6 - SC1 - Sea transport;Africa;378;;;;;;
Japan;BOP6 - SC1 - Sea transport;Asia;14567;;;;;;
Japan;BOP6 - SC1 - Sea transport;Australia;439;;;;;;
Japan;BOP6 - SC1 - Sea transport;Belgium;189;;;;;;
Japan;BOP6 - SC1 - Sea transport;Brazil;85;;;;;;
Japan;BOP6 - SC1 - Sea transport;Canada;229;;;;;;
Japan;BOP6 - SC1 - Sea transport;Cayman Islands;47;;;;;;
Japan;BOP6 - SC1 - Sea transport;China;3221;;;;;;
Japan;BOP6 - SC1 - Sea transport;European Union (28);3962;;;;;;
Japan;BOP6 - SC1 - Sea transport;France;136;;;;;;
Japan;BOP6 - SC1 - Sea transport;Germany;1185;;;;;;
Japan;BOP6 - SC1 - Sea transport;Hong Kong, China;2481;;;;;;
Japan;BOP6 - SC1 - Sea transport;India;397;;;;;;
Japan;BOP6 - SC1 - Sea transport;Indonesia;359;;;;;;
Japan;BOP6 - SC1 - Sea transport;Iran;4;;;;;;
Japan;BOP6 - SC1 - Sea transport;Italy;127;;;;;;
Japan;BOP6 - SC1 - Sea transport;Korea, Republic of;1622;;;;;;
Japan;BOP6 - SC1 - Sea transport;Luxembourg;15;;;;;;
Japan;BOP6 - SC1 - Sea transport;Malaysia;379;;;;;;
Japan;BOP6 - SC1 - Sea transport;Mexico;197;;;;;;
Japan;BOP6 - SC1 - Sea transport;Middle East;880;;;;;;
Japan;BOP6 - SC1 - Sea transport;Netherlands;737;;;;;;
Japan;BOP6 - SC1 - Sea transport;New Zealand;54;;;;;;
Japan;BOP6 - SC1 - Sea transport;Philippines;182;;;;;;
Japan;BOP6 - SC1 - Sea transport;Russian Federation;102;;;;;;
Japan;BOP6 - SC1 - Sea transport;Saudi Arabia, Kingdom of;180;;;;;;
Japan;BOP6 - SC1 - Sea transport;Singapore;2903;;;;;;
Japan;BOP6 - SC1 - Sea transport;South Africa;66;;;;;;
Japan;BOP6 - SC1 - Sea transport;Spain;55;;;;;;
Japan;BOP6 - SC1 - Sea transport;Sweden;27;;;;;;
Japan;BOP6 - SC1 - Sea transport;Switzerland;173;;;;;;
Japan;BOP6 - SC1 - Sea transport;Chinese Taipei;1878;;;;;;
Japan;BOP6 - SC1 - Sea transport;Thailand;732;;;;;;
Japan;BOP6 - SC1 - Sea transport;United Arab Emirates;294;;;;;;
Japan;BOP6 - SC1 - Sea transport;United Kingdom;1014;;;;;;
Japan;BOP6 - SC1 - Sea transport;United States of America;5377;;;;;;
Japan;BOP6 - SC1 - Sea transport;Viet Nam;272;;;;;;
Japan;BOP6 - SC2 - Air transport;Africa;8;;;;;;
Japan;BOP6 - SC2 - Air transport;Asia;3004;;;;;;
Japan;BOP6 - SC2 - Air transport;Australia;103;;;;;;
Japan;BOP6 - SC2 - Air transport;Belgium;18;;;;;;
Japan;BOP6 - SC2 - Air transport;Brazil;13;;;;;;
Japan;BOP6 - SC2 - Air transport;Canada;50;;;;;;
Japan;BOP6 - SC2 - Air transport;Cayman Islands;0;;;;;;
Japan;BOP6 - SC2 - Air transport;China;853;;;;;;
Japan;BOP6 - SC2 - Air transport;European Union (28);1422;;;;;;
Japan;BOP6 - SC2 - Air transport;France;73;;;;;;
Japan;BOP6 - SC2 - Air transport;Germany;523;;;;;;
Japan;BOP6 - SC2 - Air transport;Hong Kong, China;332;;;;;;
Japan;BOP6 - SC2 - Air transport;India;44;;;;;;
Japan;BOP6 - SC2 - Air transport;Indonesia;58;;;;;;
Japan;BOP6 - SC2 - Air transport;Iran;0;;;;;;
Japan;BOP6 - SC2 - Air transport;Italy;166;;;;;;
Japan;BOP6 - SC2 - Air transport;Korea, Republic of;272;;;;;;
Japan;BOP6 - SC2 - Air transport;Luxembourg;4;;;;;;
Japan;BOP6 - SC2 - Air transport;Malaysia;57;;;;;;
Japan;BOP6 - SC2 - Air transport;Mexico;14;;;;;;
Japan;BOP6 - SC2 - Air transport;Middle East;82;;;;;;
Japan;BOP6 - SC2 - Air transport;Netherlands;363;;;;;;
Japan;BOP6 - SC2 - Air transport;New Zealand;7;;;;;;
Japan;BOP6 - SC2 - Air transport;Philippines;64;;;;;;
Japan;BOP6 - SC2 - Air transport;Russian Federation;23;;;;;;
Japan;BOP6 - SC2 - Air transport;Saudi Arabia, Kingdom of;5;;;;;;
Japan;BOP6 - SC2 - Air transport;Singapore;252;;;;;;
Japan;BOP6 - SC2 - Air transport;South Africa;3;;;;;;
Japan;BOP6 - SC2 - Air transport;Spain;10;;;;;;
Japan;BOP6 - SC2 - Air transport;Sweden;5;;;;;;
Japan;BOP6 - SC2 - Air transport;Switzerland;21;;;;;;
Japan;BOP6 - SC2 - Air transport;Chinese Taipei;748;;;;;;
Japan;BOP6 - SC2 - Air transport;Thailand;238;;;;;;
Japan;BOP6 - SC2 - Air transport;United Arab Emirates;33;;;;;;
Japan;BOP6 - SC2 - Air transport;United Kingdom;180;;;;;;
Japan;BOP6 - SC2 - Air transport;United States of America;1617;;;;;;
Japan;BOP6 - SC2 - Air transport;Viet Nam;76;;;;;;
Japan;BOP6 - SD - Travel;Africa;27;;;;;;
Japan;BOP6 - SD - Travel;Asia;20749;;;;;;
Japan;BOP6 - SD - Travel;Australia;659;;;;;;
Japan;BOP6 - SD - Travel;Belgium;31;;;;;;
Japan;BOP6 - SD - Travel;Brazil;45;;;;;;
Japan;BOP6 - SD - Travel;Canada;301;;;;;;
Japan;BOP6 - SD - Travel;China;9265;;;;;;
Japan;BOP6 - SD - Travel;European Union (28);1345;;;;;;
Japan;BOP6 - SD - Travel;France;267;;;;;;
Japan;BOP6 - SD - Travel;Germany;160;;;;;;
Japan;BOP6 - SD - Travel;Hong Kong, China;1937;;;;;;
Japan;BOP6 - SD - Travel;India;131;;;;;;
Japan;BOP6 - SD - Travel;Indonesia;257;;;;;;
Japan;BOP6 - SD - Travel;Iran;6;;;;;;
Japan;BOP6 - SD - Travel;Italy;123;;;;;;
Japan;BOP6 - SD - Travel;Korea, Republic of;2537;;;;;;
Japan;BOP6 - SD - Travel;Luxembourg;2;;;;;;
Japan;BOP6 - SD - Travel;Malaysia;372;;;;;;
Japan;BOP6 - SD - Travel;Mexico;44;;;;;;
Japan;BOP6 - SD - Travel;Middle East;73;;;;;;
Japan;BOP6 - SD - Travel;Netherlands;60;;;;;;
Japan;BOP6 - SD - Travel;New Zealand;85;;;;;;
Japan;BOP6 - SD - Travel;Philippines;267;;;;;;
Japan;BOP6 - SD - Travel;Russian Federation;73;;;;;;
Japan;BOP6 - SD - Travel;Saudi Arabia, Kingdom of;15;;;;;;
Japan;BOP6 - SD - Travel;Singapore;358;;;;;;
Japan;BOP6 - SD - Travel;South Africa;9;;;;;;
Japan;BOP6 - SD - Travel;Spain;94;;;;;;
Japan;BOP6 - SD - Travel;Sweden;62;;;;;;
Japan;BOP6 - SD - Travel;Switzerland;48;;;;;;
Japan;BOP6 - SD - Travel;Chinese Taipei;3822;;;;;;
Japan;BOP6 - SD - Travel;Thailand;902;;;;;;
Japan;BOP6 - SD - Travel;United Arab Emirates;6;;;;;;
Japan;BOP6 - SD - Travel;United Kingdom;342;;;;;;
Japan;BOP6 - SD - Travel;United States of America;1402;;;;;;
Japan;BOP6 - SD - Travel;Viet Nam;547;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Africa;1091;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Asia;31925;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Australia;1118;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Belgium;706;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Brazil;578;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Canada;1055;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;China;6289;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;European Union (28);19556;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;France;1708;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Germany;2625;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Hong Kong, China;2270;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;India;1490;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Indonesia;2373;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Iran;1;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Italy;192;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Korea, Republic of;2069;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Luxembourg;698;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Malaysia;2499;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Mexico;1114;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Middle East;3745;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Netherlands;1441;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;New Zealand;237;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Philippines;699;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Russian Federation;417;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Saudi Arabia, Kingdom of;1511;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Singapore;5854;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;South Africa;202;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Spain;394;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Sweden;295;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Switzerland;2723;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Chinese Taipei;1573;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Thailand;4778;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;United Arab Emirates;957;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;United Kingdom;8447;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;United States of America;28611;;;;;;
Japan;BOP6 - SOX1 - Other commercial services;Viet Nam;1091;;;;;;
Japan;BOP6 - SE - Construction;Africa;537;;;;;;
Japan;BOP6 - SE - Construction;Asia;5745;;;;;;
Japan;BOP6 - SE - Construction;Australia;51;;;;;;
Japan;BOP6 - SE - Construction;Belgium;1;;;;;;
Japan;BOP6 - SE - Construction;Brazil;0;;;;;;
Japan;BOP6 - SE - Construction;Canada;22;;;;;;
Japan;BOP6 - SE - Construction;Cayman Islands;2;;;;;;
Japan;BOP6 - SE - Construction;China;81;;;;;;
Japan;BOP6 - SE - Construction;European Union (28);442;;;;;;
Japan;BOP6 - SE - Construction;France;107;;;;;;
Japan;BOP6 - SE - Construction;Germany;30;;;;;;
Japan;BOP6 - SE - Construction;Hong Kong, China;36;;;;;;
Japan;BOP6 - SE - Construction;India;119;;;;;;
Japan;BOP6 - SE - Construction;Indonesia;669;;;;;;
Japan;BOP6 - SE - Construction;Iran;0;;;;;;
Japan;BOP6 - SE - Construction;Italy;5;;;;;;
Japan;BOP6 - SE - Construction;Korea, Republic of;151;;;;;;
Japan;BOP6 - SE - Construction;Malaysia;1402;;;;;;
Japan;BOP6 - SE - Construction;Mexico;2;;;;;;
Japan;BOP6 - SE - Construction;Middle East;2692;;;;;;
Japan;BOP6 - SE - Construction;Netherlands;90;;;;;;
Japan;BOP6 - SE - Construction;New Zealand;49;;;;;;
Japan;BOP6 - SE - Construction;Philippines;122;;;;;;
Japan;BOP6 - SE - Construction;Russian Federation;212;;;;;;
Japan;BOP6 - SE - Construction;Saudi Arabia, Kingdom of;1352;;;;;;
Japan;BOP6 - SE - Construction;Singapore;526;;;;;;
Japan;BOP6 - SE - Construction;South Africa;1;;;;;;
Japan;BOP6 - SE - Construction;Spain;17;;;;;;
Japan;BOP6 - SE - Construction;Switzerland;2;;;;;;
Japan;BOP6 - SE - Construction;Chinese Taipei;458;;;;;;
Japan;BOP6 - SE - Construction;Thailand;1058;;;;;;
Japan;BOP6 - SE - Construction;United Arab Emirates;311;;;;;;
Japan;BOP6 - SE - Construction;United Kingdom;146;;;;;;
Japan;BOP6 - SE - Construction;United States of America;465;;;;;;
Japan;BOP6 - SE - Construction;Viet Nam;484;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Africa;7;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Asia;410;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Australia;20;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Belgium;6;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Brazil;6;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Canada;7;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Cayman Islands;7;;;;;;
Japan;BOP6 - SF - Insurance and pension services;China;69;;;;;;
Japan;BOP6 - SF - Insurance and pension services;European Union (28);549;;;;;;
Japan;BOP6 - SF - Insurance and pension services;France;10;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Germany;37;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Hong Kong, China;36;;;;;;
Japan;BOP6 - SF - Insurance and pension services;India;7;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Indonesia;13;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Iran;0;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Italy;3;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Korea, Republic of;99;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Luxembourg;0;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Malaysia;19;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Mexico;17;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Middle East;13;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Netherlands;19;;;;;;
Japan;BOP6 - SF - Insurance and pension services;New Zealand;2;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Philippines;9;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Russian Federation;3;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Saudi Arabia, Kingdom of;3;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Singapore;78;;;;;;
Japan;BOP6 - SF - Insurance and pension services;South Africa;1;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Spain;30;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Sweden;2;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Switzerland;67;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Chinese Taipei;28;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Thailand;44;;;;;;
Japan;BOP6 - SF - Insurance and pension services;United Arab Emirates;5;;;;;;
Japan;BOP6 - SF - Insurance and pension services;United Kingdom;430;;;;;;
Japan;BOP6 - SF - Insurance and pension services;United States of America;395;;;;;;
Japan;BOP6 - SF - Insurance and pension services;Viet Nam;7;;;;;;
Japan;BOP6 - SG - Financial services;Africa;10;;;;;;
Japan;BOP6 - SG - Financial services;Asia;1378;;;;;;
Japan;BOP6 - SG - Financial services;Australia;245;;;;;;
Japan;BOP6 - SG - Financial services;Belgium;44;;;;;;
Japan;BOP6 - SG - Financial services;Brazil;25;;;;;;
Japan;BOP6 - SG - Financial services;Canada;51;;;;;;
Japan;BOP6 - SG - Financial services;Cayman Islands;302;;;;;;
Japan;BOP6 - SG - Financial services;China;176;;;;;;
Japan;BOP6 - SG - Financial services;European Union (28);4538;;;;;;
Japan;BOP6 - SG - Financial services;France;393;;;;;;
Japan;BOP6 - SG - Financial services;Germany;37;;;;;;
Japan;BOP6 - SG - Financial services;Hong Kong, China;613;;;;;;
Japan;BOP6 - SG - Financial services;India;41;;;;;;
Japan;BOP6 - SG - Financial services;Indonesia;109;;;;;;
Japan;BOP6 - SG - Financial services;Iran;1;;;;;;
Japan;BOP6 - SG - Financial services;Italy;10;;;;;;
Japan;BOP6 - SG - Financial services;Korea, Republic of;36;;;;;;
Japan;BOP6 - SG - Financial services;Luxembourg;506;;;;;;
Japan;BOP6 - SG - Financial services;Malaysia;9;;;;;;
Japan;BOP6 - SG - Financial services;Mexico;8;;;;;;
Japan;BOP6 - SG - Financial services;Middle East;38;;;;;;
Japan;BOP6 - SG - Financial services;Netherlands;190;;;;;;
Japan;BOP6 - SG - Financial services;New Zealand;11;;;;;;
Japan;BOP6 - SG - Financial services;Philippines;7;;;;;;
Japan;BOP6 - SG - Financial services;Russian Federation;9;;;;;;
Japan;BOP6 - SG - Financial services;Saudi Arabia, Kingdom of;8;;;;;;
Japan;BOP6 - SG - Financial services;Singapore;278;;;;;;
Japan;BOP6 - SG - Financial services;South Africa;1;;;;;;
Japan;BOP6 - SG - Financial services;Spain;2;;;;;;
Japan;BOP6 - SG - Financial services;Sweden;5;;;;;;
Japan;BOP6 - SG - Financial services;Switzerland;25;;;;;;
Japan;BOP6 - SG - Financial services;Chinese Taipei;7;;;;;;
Japan;BOP6 - SG - Financial services;Thailand;44;;;;;;
Japan;BOP6 - SG - Financial services;United Arab Emirates;17;;;;;;
Japan;BOP6 - SG - Financial services;United Kingdom;3225;;;;;;
Japan;BOP6 - SG - Financial services;United States of America;2858;;;;;;
Japan;BOP6 - SG - Financial services;Viet Nam;50;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Africa;160;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Asia;12455;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Australia;226;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Belgium;451;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Brazil;451;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Canada;781;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Cayman Islands;10;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;China;4047;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;European Union (28);4614;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;France;308;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Germany;572;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Hong Kong, China;297;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;India;998;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Indonesia;1197;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Italy;45;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Korea, Republic of;784;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Luxembourg;118;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Malaysia;549;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Mexico;939;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Middle East;46;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Netherlands;183;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;New Zealand;5;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Philippines;368;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Russian Federation;55;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Saudi Arabia, Kingdom of;21;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Singapore;232;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;South Africa;147;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Spain;18;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Sweden;26;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Switzerland;1703;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Chinese Taipei;702;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Thailand;2792;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;United Arab Emirates;12;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;United Kingdom;1924;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;United States of America;14605;;;;;;
Japan;BOP6 - SH - Charges for the use of intellectual property n.i.e.;Viet Nam;402;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Africa;15;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Asia;1204;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Australia;13;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Belgium;26;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Brazil;10;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Canada;52;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Cayman Islands;1;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;China;157;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;European Union (28);482;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;France;10;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Germany;100;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Hong Kong, China;120;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;India;66;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Indonesia;22;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Italy;7;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Korea, Republic of;224;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Luxembourg;13;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Malaysia;36;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Mexico;11;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Middle East;116;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Netherlands;60;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;New Zealand;8;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Philippines;16;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Russian Federation;13;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Saudi Arabia, Kingdom of;41;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Singapore;344;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;South Africa;5;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Spain;1;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Sweden;4;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Switzerland;168;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Chinese Taipei;44;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Thailand;66;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;United Arab Emirates;45;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;United Kingdom;226;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;United States of America;1141;;;;;;
Japan;BOP6 - SI - Telecommunications, computer, and information services;Viet Nam;15;;;;;;
Japan;BOP6 - SJ - Other business services;Africa;361;;;;;;
Japan;BOP6 - SJ - Other business services;Asia;10519;;;;;;
Japan;BOP6 - SJ - Other business services;Australia;559;;;;;;
Japan;BOP6 - SJ - Other business services;Belgium;178;;;;;;
Japan;BOP6 - SJ - Other business services;Brazil;85;;;;;;
Japan;BOP6 - SJ - Other business services;Canada;141;;;;;;
Japan;BOP6 - SJ - Other business services;Cayman Islands;652;;;;;;
Japan;BOP6 - SJ - Other business services;China;1700;;;;;;
Japan;BOP6 - SJ - Other business services;European Union (28);8842;;;;;;
Japan;BOP6 - SJ - Other business services;France;879;;;;;;
Japan;BOP6 - SJ - Other business services;Germany;1804;;;;;;
Japan;BOP6 - SJ - Other business services;Hong Kong, China;1071;;;;;;
Japan;BOP6 - SJ - Other business services;India;258;;;;;;
Japan;BOP6 - SJ - Other business services;Indonesia;361;;;;;;
Japan;BOP6 - SJ - Other business services;Iran;0;;;;;;
Japan;BOP6 - SJ - Other business services;Italy;114;;;;;;
Japan;BOP6 - SJ - Other business services;Korea, Republic of;753;;;;;;
Japan;BOP6 - SJ - Other business services;Luxembourg;61;;;;;;
Japan;BOP6 - SJ - Other business services;Malaysia;483;;;;;;
Japan;BOP6 - SJ - Other business services;Mexico;137;;;;;;
Japan;BOP6 - SJ - Other business services;Middle East;842;;;;;;
Japan;BOP6 - SJ - Other business services;Netherlands;898;;;;;;
Japan;BOP6 - SJ - Other business services;New Zealand;161;;;;;;
Japan;BOP6 - SJ - Other business services;Philippines;177;;;;;;
Japan;BOP6 - SJ - Other business services;Russian Federation;120;;;;;;
Japan;BOP6 - SJ - Other business services;Saudi Arabia, Kingdom of;86;;;;;;
Japan;BOP6 - SJ - Other business services;Singapore;4389;;;;;;
Japan;BOP6 - SJ - Other business services;South Africa;48;;;;;;
Japan;BOP6 - SJ - Other business services;Spain;320;;;;;;
Japan;BOP6 - SJ - Other business services;Sweden;258;;;;;;
Japan;BOP6 - SJ - Other business services;Switzerland;740;;;;;;
Japan;BOP6 - SJ - Other business services;Chinese Taipei;318;;;;;;
Japan;BOP6 - SJ - Other business services;Thailand;769;;;;;;
Japan;BOP6 - SJ - Other business services;United Arab Emirates;568;;;;;;
Japan;BOP6 - SJ - Other business services;United Kingdom;2474;;;;;;
Japan;BOP6 - SJ - Other business services;United States of America;8833;;;;;;
Japan;BOP6 - SJ - Other business services;Viet Nam;133;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;Africa;1;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;Asia;214;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;Australia;3;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;Belgium;0;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;Brazil;0;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;Canada;1;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;China;58;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;European Union (28);89;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;France;1;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;Germany;44;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;Hong Kong, China;98;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;India;1;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;Indonesia;2;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;Italy;7;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;Korea, Republic of;23;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;Luxembourg;0;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;Malaysia;1;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;Middle East;0;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;Netherlands;1;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;New Zealand;0;;;;;;
Japan;BOP6 - SK - Personal, cultural, and recreational services;Philippines;0;;;;;;
