Reporting Economy;Product/Sector;Partner Economy;2015;;;;;;
China;BOP6 - SL - Memo item: Government goods and services n.i.e.;France;8;;;;;;
China;BOP6 - SL - Memo item: Government goods and services n.i.e.;Germany;5;;;;;;
China;BOP6 - SL - Memo item: Government goods and services n.i.e.;Hong Kong, China;54;;;;;;
China;BOP6 - SL - Memo item: Government goods and services n.i.e.;India;8;;;;;;
China;BOP6 - SL - Memo item: Government goods and services n.i.e.;Japan;42;;;;;;
China;BOP6 - SL - Memo item: Government goods and services n.i.e.;Korea, Republic of;73;;;;;;
China;BOP6 - SL - Memo item: Government goods and services n.i.e.;Macao, China;6;;;;;;
China;BOP6 - SL - Memo item: Government goods and services n.i.e.;Russian Federation;26;;;;;;
China;BOP6 - SL - Memo item: Government goods and services n.i.e.;South Africa;12;;;;;;
China;BOP6 - SL - Memo item: Government goods and services n.i.e.;Chinese Taipei;5;;;;;;
China;BOP6 - SL - Memo item: Government goods and services n.i.e.;United Kingdom;67;;;;;;
China;BOP6 - SL - Memo item: Government goods and services n.i.e.;United States of America;65;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Australia;2445;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Bangladesh;103;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Belgium;456;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Belgium-Luxembourg;1153;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Brazil;67;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Canada;1067;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;China;40093;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Denmark;240;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;European Union (28);16209;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Finland;44;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;France;1892;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;G-7 (Group of Seven);33257;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Germany;2811;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;India;1122;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Indonesia;820;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Israel;313;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Italy;510;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Japan;4250;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Korea, Republic of;2153;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Luxembourg;697;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Macao, China;903;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Malaysia;1199;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Marshall Islands;37;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Netherlands;412;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;New Zealand;175;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Panama;223;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Philippines;1107;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Qatar;29;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Russian Federation;139;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Singapore;3801;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;South Africa;257;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Sri Lanka;116;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Sweden;1165;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Switzerland;1239;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Chinese Taipei;3710;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Thailand;1271;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Türkiye;47;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;United Arab Emirates;382;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;United Kingdom;7658;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;United States of America;15069;;;;;;
Hong Kong, China;BOP6 - SOX - Commercial services;Viet Nam;375;;;;;;
Hong Kong, China;BOP6 - SPX4 - Goods-related services;Canada;2;;;;;;
Hong Kong, China;BOP6 - SPX4 - Goods-related services;China;53;;;;;;
Hong Kong, China;BOP6 - SPX4 - Goods-related services;Japan;19;;;;;;
Hong Kong, China;BOP6 - SPX4 - Goods-related services;Singapore;24;;;;;;
Hong Kong, China;BOP6 - SPX4 - Goods-related services;Chinese Taipei;15;;;;;;
Hong Kong, China;BOP6 - SPX4 - Goods-related services;United Kingdom;11;;;;;;
Hong Kong, China;BOP6 - SPX4 - Goods-related services;United States of America;151;;;;;;
Hong Kong, China;BOP6 - SB - Maintenance and repair services n.i.e.;Canada;2;;;;;;
Hong Kong, China;BOP6 - SB - Maintenance and repair services n.i.e.;China;53;;;;;;
Hong Kong, China;BOP6 - SB - Maintenance and repair services n.i.e.;Japan;19;;;;;;
Hong Kong, China;BOP6 - SB - Maintenance and repair services n.i.e.;Singapore;24;;;;;;
Hong Kong, China;BOP6 - SB - Maintenance and repair services n.i.e.;Chinese Taipei;15;;;;;;
Hong Kong, China;BOP6 - SB - Maintenance and repair services n.i.e.;United Kingdom;11;;;;;;
Hong Kong, China;BOP6 - SB - Maintenance and repair services n.i.e.;United States of America;151;;;;;;
Hong Kong, China;BOP6 - SC - Transport;Australia;1089;;;;;;
Hong Kong, China;BOP6 - SC - Transport;Belgium-Luxembourg;71;;;;;;
Hong Kong, China;BOP6 - SC - Transport;Canada;670;;;;;;
Hong Kong, China;BOP6 - SC - Transport;China;6217;;;;;;
Hong Kong, China;BOP6 - SC - Transport;European Union (28);4748;;;;;;
Hong Kong, China;BOP6 - SC - Transport;France;223;;;;;;
Hong Kong, China;BOP6 - SC - Transport;G-7 (Group of Seven);12751;;;;;;
Hong Kong, China;BOP6 - SC - Transport;Germany;1786;;;;;;
Hong Kong, China;BOP6 - SC - Transport;India;483;;;;;;
Hong Kong, China;BOP6 - SC - Transport;Indonesia;288;;;;;;
Hong Kong, China;BOP6 - SC - Transport;Italy;299;;;;;;
Hong Kong, China;BOP6 - SC - Transport;Japan;2323;;;;;;
Hong Kong, China;BOP6 - SC - Transport;Korea, Republic of;1106;;;;;;
Hong Kong, China;BOP6 - SC - Transport;Macao, China;81;;;;;;
Hong Kong, China;BOP6 - SC - Transport;Malaysia;583;;;;;;
Hong Kong, China;BOP6 - SC - Transport;Netherlands;140;;;;;;
Hong Kong, China;BOP6 - SC - Transport;Philippines;463;;;;;;
Hong Kong, China;BOP6 - SC - Transport;Singapore;829;;;;;;
Hong Kong, China;BOP6 - SC - Transport;Sweden;6;;;;;;
